Date,Step-Count,Distance (m),Calories-Burned-(calx10)
2023-07-28,19376,8842.83217,5233.69
2023-07-29,25650,12003.283957,6121.5
2023-07-30,4665,2070.82592,2324.65
2023-07-31,15944,7150.31168,5324.53
2023-08-01,8396,3831.80671,4735.98
2023-08-02,17393,7779.881329,6687.54
2023-08-03,3698,1645.0119,1908.58
2023-08-04,6835,2961.23034,2730.41
2023-08-05,4908,2226.576751,2598.16
2023-08-06,6323,2814.14241,2802.6
2023-08-07,27279,11587.143907,4613.12
2023-08-08,5581,2565.76029,3211.2
2023-08-09,9748,4458.678457,4141.06
2023-08-10,7440,3376.15484,4250.5
2023-08-11,881,382.523679,80.86
2023-08-12,4749,2140.94592,3719.06
2023-08-13,4046,1802.189624,2132.28
2023-08-14,6358,2867.85027,2802.12
2023-08-15,14104,6373.56767,5049.78
2023-08-16,14412,6767.125034,5619.64
2023-08-17,6042,2711.4732,2393.71
2023-08-18,9498,4356.76537,4396.49
2023-08-19,20760,9188.17431,6157.35
2023-08-20,4509,2261.13829,1486.78
2023-08-21,6266,2868.36283,2659.72
2023-08-22,13162,6129.10278,3781.42
2023-08-23,7337,3234.736887,2788.72
2023-08-24,7600,3521.478551,3828.85
2023-08-25,8241,3791.896794,3370.04
2023-08-26,8153,3765.750262,2401.79
2023-08-27,6007,2736.646927,4058.03
2023-08-28,7758,3558.74266,5396.82
2023-08-29,12729,5938.749323,5838.57
2023-08-30,5958,2626.3447,1618.57
2023-08-31,8130,3825.601657,4730.83
2023-09-01,13270,6211.193056,1595.13
2023-09-02,30121,13884.05112,0
2023-09-03,23717,10950.758714,0
2023-09-04,7355,3371.524895,0
2023-09-05,9028,4305.361189,3309.42
2023-09-06,11735,5440.49435,3365.95
2023-09-07,8563,4135.446431,4439.97
2023-09-08,4124,1816.02997,110.25
2023-09-09,11758,4061.69895,2380.76
2023-09-10,7974,3647.482851,3969.64
2023-09-11,10326,4729.11303,3628.18
2023-09-12,10926,4839.050601,4240.28
